Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2015-03-09,97.09,97.82,96.94,97.43,2969434.0,0.0,1.0,45.631692558480665,45.97478799125119,45.56119349695247,45.7914904312779,5938868.0
2015-03-06,98.46,98.69,96.6,96.91,3587348.0,0.0,1.0,46.27558398710481,46.383682548114706,45.401395624155235,45.54709368464683,7174696.0
2015-03-05,97.96,98.68,97.79,98.46,3316847.0,0.0,1.0,46.040587115344174,46.37898261067949,45.96068817894556,46.27558398710481,6633694.0
2015-03-04,97.67,97.87,96.96,97.52,2421052.0,0.0,1.0,45.904288929723,45.99828767842726,45.570593371822895,45.83378986819481,4842104.0
2015-03-03,98.44,98.47,97.12,97.97,3494333.0,0.0,1.0,46.266184112234384,46.28028392454002,45.6457923707863,46.045287052779386,6988666.0
2015-03-02,96.89,98.86,96.75,98.75,5512474.0,0.0,1.0,45.53769380977641,46.46358148451332,45.47189468568343,46.41188217272598,11024948.0
2015-02-27,96.95,97.405,96.63,97.12,3559328.0,0.0,1.0,45.56589343438769,45.779740587689865,45.41549543646087,45.6457923707863,7118656.0
2015-02-26,96.66,97.33,96.65,96.99,2967471.0,0.28,1.0,45.42959524876651,45.74449105692577,45.424895311331305,45.58469318412853,5934942.0
2015-02-25,95.42,97.2,95.42,96.82,3526777.0,0.0,1.0,44.71770765528472,45.55188832628039,44.71770765528472,45.373804812247606,7053554.0
2015-02-24,94.75,95.54,94.75,95.42,2619714.0,0.0,1.0,44.40371830159534,44.77394455445297,44.40371830159534,44.71770765528472,5239428.0
2015-02-23,94.92,95.23,94.28,95.01,2311108.0,0.0,1.0,44.48338724208369,44.62866589826833,44.18345711318637,44.52556491645988,4622216.0
2015-02-20,93.61,95.29,93.35,94.93,3698875.0,0.0,1.0,43.869467759496985,44.65678434785245,43.74762114463245,44.488073650347715,7397750.0
2015-02-19,93.48,94.26,93.48,93.7,3302616.0,0.0,1.0,43.80854445206472,44.17408429665833,43.80854445206472,43.911645433873176,6605232.0
2015-02-18,91.54,93.765,91.43,93.62,4071858.0,0.0,1.0,42.899381248844726,43.94210708758931,42.8478307579405,43.87415416776101,8143716.0
2015-02-17,91.74,92.9,91.72,91.86,3685478.0,0.0,1.0,42.99310941412513,43.53673277275153,42.983736597597094,43.04934631329338,7370956.0
2015-02-13,92.02,92.57,91.9,92.04,3847781.0,0.0,1.0,43.12432884551771,43.38208130003884,43.06809194634946,43.13370166204575,7695562.0
2015-02-12,91.46,92.66,90.8,92.0,5927893.0,0.0,1.0,42.86188998273255,43.424258974415025,42.55258703730719,43.11495602898967,11855786.0
2015-02-11,92.49,92.75,90.95,91.31,4270096.0,0.0,1.0,43.34459003392668,43.466436648791216,42.6228831612675,42.791593858772245,8540192.0
2015-02-10,91.74,93.1,91.22,92.75,3847303.0,0.0,1.0,42.99310941412513,43.63046093803193,42.74941618439606,43.466436648791216,7694606.0
2015-02-09,91.5,91.7,90.6901,91.17,3669698.0,0.0,1.0,42.88063561578864,42.97436378106905,42.501083410485606,42.725984143075955,7339396.0
2015-02-06,93.4,93.47,91.54,91.79,3690692.0,0.0,1.0,43.77105318595256,43.8038580438007,42.899381248844726,43.016541455445235,7381384.0
2015-02-05,92.88,93.59,92.56,93.34,2877154.0,0.0,1.0,43.52735995622348,43.86009494296895,43.37739489177483,43.74293473636843,5754308.0
2015-02-04,92.77,93.27,92.27,92.54,3593557.0,0.0,1.0,43.47580946531925,43.710129878520284,43.241489052118226,43.368022075246785,7187114.0
2015-02-03,92.23,93.39,92.03,93.35,3970058.0,0.0,1.0,43.22274341906215,43.76636677768853,43.12901525378173,43.74762114463245,7940116.0
2015-02-02,92.68,92.69,90.77,91.92,4028278.0,0.0,1.0,43.433631790943075,43.43831819920709,42.538527812515134,43.077464762877504,8056556.0
2015-01-30,93.92,94.36,92.1,92.25,4052859.0,0.0,1.0,44.01474641568163,44.220948379298534,43.16182011162987,43.23211623559018,8105718.0
2015-01-29,93.67,94.87,93.17,94.87,3401183.0,0.0,1.0,43.89758620908111,44.45995520076359,43.66326579588008,44.45995520076359,6802366.0
2015-01-28,95.0,95.32,93.25,93.31,3201338.0,0.0,1.0,44.52087850819586,44.67084357264451,43.70075706199225,43.72887551157637,6402676.0
2015-01-27,95.3,95.45,94.12,94.5,3348432.0,0.0,1.0,44.66147075611647,44.73176688007678,44.10847458096204,44.286558094994824,6696864.0
2015-01-26,96.0,96.465,95.55,96.35,2481990.0,0.0,1.0,44.989519334597915,45.207437318874874,44.77863096271699,45.15354362383864,4963980.0
2015-01-23,96.14,96.75,95.65,96.16,3390503.0,0.0,1.0,45.055129050294205,45.340999954399464,44.825495045357194,45.06450186682224,6781006.0
2015-01-22,94.35,96.11,93.56,95.85,3475366.0,0.0,1.0,44.21626197103451,45.04106982550214,43.846035718176886,44.919223210637604,6950732.0
2015-01-21,93.11,94.13,93.01,93.51,2927030.0,0.0,1.0,43.63514734629596,44.11316098922606,43.588283263655754,43.82260367685679,5854060.0
2015-01-20,93.44,93.89,92.62,93.61,4695289.0,0.0,1.0,43.78979881900864,44.000687190889565,43.40551334135895,43.869467759496985,9390578.0
2015-01-16,92.77,93.13,92.03,92.99,4384999.0,0.0,1.0,43.47580946531925,43.644520162823994,43.12901525378173,43.578910447127704,8769998.0
2015-01-15,94.63,94.68,92.57,92.81,2117475.0,0.0,1.0,44.347481402427086,44.3709134437472,43.38208130003884,43.494555098375336,4234950.0
2015-01-14,93.38,94.37,92.91,93.71,3375127.0,0.0,1.0,43.76168036942451,44.225634787562555,43.54141918101554,43.91633184213719,6750254.0
2015-01-13,96.34,97.45,94.63,95.01,3105115.0,0.0,1.0,45.148857215574616,45.66904853288091,44.347481402427086,44.52556491645988,6210230.0
2015-01-12,95.91,96.52,95.23,95.86,2815367.0,0.0,1.0,44.94734166022173,45.23321256432698,44.62866589826833,44.923909618901625,5630734.0
2015-01-09,96.93,96.99,95.6,95.99,2323612.0,0.0,1.0,45.42535530315183,45.45347375273595,44.80206300403709,44.984832926333894,4647224.0
2015-01-08,95.66,97.1,95.62,97.06,2998522.0,0.0,1.0,44.830181453621215,45.50502424364018,44.81143582056514,45.4862786105841,5997044.0
2015-01-07,93.61,95.3,93.1,94.87,3628022.0,0.0,1.0,43.869467759496985,44.66147075611647,43.63046093803193,44.45995520076359,7256044.0
2015-01-06,93.89,94.15,92.07,92.95,3787690.0,0.0,1.0,44.000687190889565,44.1225338057541,43.14776088683781,43.560164814071626,7575380.0
2015-01-05,94.51,94.55,93.13,93.5,3444586.0,0.0,1.0,44.291244503258845,44.30999013631492,43.644520162823994,43.81791726859276,6889172.0
2015-01-02,96.55,96.95,94.11,95.03,2492872.0,0.0,1.0,45.24727178911905,45.434728119679875,44.10378817269802,44.53493773298791,4985744.0
2014-12-31,96.97,97.61,96.04,96.15,2348728.0,0.0,1.0,45.44410093620792,45.74403106510523,45.008264967654,45.05981545855823,4697456.0
2014-12-30,96.88,97.3,96.62,96.88,2073429.0,0.0,1.0,45.401923261831726,45.598752408920596,45.280076646967196,45.401923261831726,4146858.0
2014-12-29,96.61,97.65,96.61,97.3,2008867.0,0.0,1.0,45.275390238703174,45.76277669816132,45.275390238703174,45.598752408920596,4017734.0
2014-12-26,96.51,97.21,96.25,96.83,1572309.0,0.0,1.0,45.22852615606297,45.556574734544405,45.10667954119843,45.37849122051163,3144618.0
